"COUNTRY","YEAR","SCENARIO","ISCO08_3D","ISCO88_3D","THS_POP","FLAG_RELIAB","OBS_STATUS"
"EU27_2020",2022,"S_AA",713,"Not stated",1012485,,
"EU27_2020",2022,"S_AA",342,"Not stated",901281,,
"EU27_2020",2022,"S_AA",941,"Not stated",1458482,,
"EU27_2020",2022,"S_AA",541,"Not stated",3274262,,
"EU27_2020",2022,"S_AA",320,"Not stated",,"x",
"EU27_2020",2022,"S_AA",834,"Not stated","1882,9",,
"EU27_2020",2022,"S_AA",833,"Not stated",4016775,,
"EU27_2020",2022,"S_AA",330,"Not stated",,"x",
"EU27_2020",2022,"S_AA",332,"Not stated",4027082,,
"EU27_2020",2022,"S_AA",223,"Not stated",43941,,
"EU27_2020",2022,"S_AA",226,"Not stated",2128165,,
"EU27_2020",2022,"S_AA",431,"Not stated",2244194,,
"EU27_2020",2022,"S_AA",343,"Not stated",890172,,
"EU27_2020",2022,"S_AA",143,"Not stated",671984,,
"EU27_2020",2022,"S_AA",831,"Not stated",317111,,
"EU27_2020",2022,"S_AA",421,"Not stated","898,26",,
"EU27_2020",2022,"S_AA",800,"Not stated",,"x",
"EU27_2020",2022,"S_AA",413,"Not stated",256721,,
"EU27_2020",2022,"S_AA",522,"Not stated",10558757,,
"EU27_2020",2022,"S_AA",811,"Not stated",276808,,
"EU27_2020",2022,"S_AA",212,"Not stated",154579,,
"EU27_2020",2022,"S_AA",112,"Not stated",1299845,,
"EU27_2020",2022,"S_AA",512,"Not stated",1959177,,
"EU27_2020",2022,"S_AA",722,"Not stated","2075,1",,
"EU27_2020",2022,"S_AA",742,"Not stated",685947,,
"EU27_2020",2022,"S_AA",224,"Not stated",,"x",
"EU27_2020",2022,"S_AA",910,"Not stated",,"x",
"EU27_2020",2022,"S_AA",251,"Not stated",3692063,,
"EU27_2020",2022,"S_AA",211,"Not stated",288224,,
"EU27_2020",2022,"S_AA",523,"Not stated",1284251,,
"EU27_2020",2022,"S_AA",311,"Not stated",3901867,,
"EU27_2020",2022,"S_AA",741,"Not stated",2447962,,
"EU27_2020",2022,"S_AA",520,"Not stated",,"x",
"EU27_2020",2022,"S_AA",731,"Not stated",547145,,
"EU27_2020",2022,"S_AA",933,"Not stated",2457798,,
"EU27_2020",2022,"S_AA","Not applicable","Not stated",172142522,,
"EU27_2020",2022,"S_AA",631,"Not stated",,"x",
"EU27_2020",2022,"S_AA",720,"Not stated",,"x",
"EU27_2020",2022,"S_AA",740,"Not stated",,"x",
"EU27_2020",2022,"S_AA",815,"Not stated",778463,,
"EU27_2020",2022,"S_AA",432,"Not stated",3918839,,
"EU27_2020",2022,"S_AA",232,"Not stated",641126,,
"EU27_2020",2022,"S_AA",632,"Not stated",,"x",
"EU27_2020",2022,"S_AA",612,"Not stated",827074,,
"EU27_2020",2022,"S_AA",30,"Not stated",,"x",
"EU27_2020",2022,"S_AA",235,"Not stated",1663614,,
"EU27_2020",2022,"S_AA",132,"Not stated",1834319,,
"EU27_2020",2022,"S_AA",241,"Not stated",2674451,,
"EU27_2020",2022,"S_AA",814,"Not stated",720969,,
"EU27_2020",2022,"S_AA",233,"Not stated",3066429,,
"EU27_2020",2022,"S_AA",400,"Not stated",27781,,
"EU27_2020",2022,"S_AA",751,"Not stated",1469254,,
"EU27_2020",2022,"S_AA",21,"Not stated",344131,,
"EU27_2020",2022,"S_AA",721,"Not stated",1755809,,
"EU27_2020",2022,"S_AA",260,"Not stated",,"x",
"EU27_2020",2022,"S_AA",141,"Not stated",942984,,
"EU27_2020",2022,"S_AA",818,"Not stated",1249199,,
"EU27_2020",2022,"S_AA",333,"Not stated",1977438,,
"EU27_2020",2022,"S_AA",532,"Not stated",4369728,,
"EU27_2020",2022,"S_AA",250,"Not stated",102231,,
"EU27_2020",2022,"S_AA",510,"Not stated",,"x",
"EU27_2020",2022,"S_AA",511,"Not stated",308893,,
"EU27_2020",2022,"S_AA",410,"Not stated",,"x",
"EU27_2020",2022,"S_AA",100,"Not stated",18195,"u",
"EU27_2020",2022,"S_AA",315,"Not stated",273979,,
"EU27_2020",2022,"S_AA",630,"Not stated",,"x",
"EU27_2020",2022,"S_AA",516,"Not stated","548,23",,
